plt_cn,condid,invyr,statecd,countycd,plot,smplnnbr,measyear,forflthk,ltrlrthk,forflthkn,ltrlrthkn,forflthks,ltrlrthks,forflthke,ltrlrthke,forflthkw,ltrlrthkw,vstnbr,txtrlyr1,txtrlyr2,dpthsbsl,soils_statcd
59567553010478,1,2004,5,41,58,3,2003,0.1,0.05,0.1,0.1,0.1,0,0.1,0.1,0.1,0,1,0,0,5,1
59567553010478,1,2004,5,41,58,4,2003,0.1,0.05,0.1,0,0.1,0,0.1,0.1,0.1,0.1,1,0,0,5,1
59559464010478,1,2004,5,23,51,2,2003,0.25,0.125,0.2,0.2,0.3,0.1,0.3,0.1,0.2,0.1,1,1,1,2,1
59559464010478,1,2004,5,23,51,3,2003,0.15,0,0.2,0,0.2,0,0.1,0,0.1,0,1,0,0,1.5,1
59559464010478,1,2004,5,23,51,4,2003,0.15,0,0.1,0,0.2,0,0.2,0,0.1,0,1,0,0,0.6,1
59561344010478,1,2004,5,27,64,2,2003,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,1,1,2.8,1
59561344010478,1,2004,5,27,64,3,2003,0.1,0.075,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,1,0,0,3.5,1
59561344010478,1,2004,5,27,64,4,2003,0.1,0.075,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,1,0,0,3.7,1
59561693010478,1,2004,5,27,59,2,2003,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,3,3,4,1
59561693010478,1,2004,5,27,59,3,2003,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0,0,3.5,1
59561693010478,1,2004,5,27,59,4,2003,0.125,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,1,0,0,3.5,1
59568866010478,1,2004,5,43,68,2,2003,0.025,0,0,0,0.1,0,0,0,0,0,1,1,1,5,1
59568866010478,1,2004,5,43,68,3,2003,0.05,0,0,0,0.1,0,0.1,0,0,0,1,0,0,5,1
59568866010478,1,2004,5,43,68,4,2003,0.075,0,0.1,0,0.1,0,0,0,0.1,0,1,0,0,5,1
59569141010478,1,2004,5,43,72,2,2003,0.225,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,1,1,1,5,1
59569141010478,1,2004,5,43,72,3,2003,0.225,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,1,0,0,5,1
59569141010478,1,2004,5,43,72,4,2003,0.2,0.15,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,1,0,0,5,1
59540709010478,1,2004,5,145,80,2,2003,0.125,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,1,1,1,0.6,1
59540709010478,1,2004,5,145,80,3,2003,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.1,1,0,0,0.4,1
59540709010478,1,2004,5,145,80,4,2003,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.1,1,0,0,0.6,1
59577774010478,1,2004,5,61,48,2,2003,0.125,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,1,1,1,1.7,1
59577774010478,1,2004,5,61,48,3,2003,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.1,1,0,0,0.9,1
59577774010478,1,2004,5,61,48,4,2003,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.1,1,0,0,1,1
449072736489998,1,2018,27,75,24129,2,2018,20,0.075,20,0.1,20,0,20,0.2,20,0,1,0,0,20,1
449072736489998,1,2018,27,75,24129,3,2018,20,0.125,20,0.1,20,0.2,20,0.1,20,0.1,1,,,20,1
449072736489998,1,2018,27,75,24129,4,2018,20,0.025,20,0.1,20,0,20,0,20,0,1,,,20,1
449071873489998,,2018,27,85,20135,2,2018,,,,,,,,,,,1,,,,2
449071873489998,,2018,27,85,20135,3,2018,,,,,,,,,,,1,,,,2
449071873489998,2,2018,27,85,20135,4,2018,0.825,0.775,0.7,0.7,1.2,1,0.6,0.6,0.8,0.8,1,,,20,1
449071141489998,,2018,27,71,22247,2,2018,,,,,,,,,,,1,,,,9
449071141489998,,2018,27,71,22247,3,2018,,,,,,,,,,,1,,,,9
449071141489998,,2018,27,71,22247,4,2018,,,,,,,,,,,1,,,,9
449072122489998,1,2018,27,5,20014,2,2018,3.675,1.125,4.8,1.3,3.4,1.1,3.3,0.9,3.2,1.2,1,3,3,20,1
449072122489998,1,2018,27,5,20014,3,2018,2.5,1.6,2.6,2,2.4,1.4,2.9,2,2.1,1,1,,,20,1
449072122489998,1,2018,27,5,20014,4,2018,1.85,1.35,1.7,1.2,2.4,2.1,1.4,1,1.9,1.1,1,,,20,1
449072809489998,1,2018,27,75,24035,2,2018,1.2,0.475,1.1,0.3,1.4,0.6,1,0.4,1.3,0.6,1,3,3,5.3,1
449072809489998,1,2018,27,75,24035,3,2018,0.15,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,1,,,3.9,1
449072809489998,1,2018,27,75,24035,4,2018,0.1,0.075,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,1,,,11.3,1
449072927489998,1,2018,27,7,21087,2,2018,1.35,0.9,1.3,0.9,1.5,1,1.2,0.8,1.4,0.9,1,3,3,19.4,1
449072927489998,1,2018,27,7,21087,3,2018,0.65,0.45,0.7,0.5,0.6,0.4,0.6,0.4,0.7,0.5,1,,,8.4,1
