plt_cn,condid,statecd,unitcd,countycd,plot,invyr,measyear,condprop_cwd,condprop_fwd_sm,condprop_fwd_md,condprop_fwd_lg,condprop_pile,cwd_tl_cond,cwd_lpa_cond,cwd_drybio_cond,cwd_carbon_cond,fwd_sm_tl_cond,fwd_sm_cnt_cond,fwd_sm_drybio_cond,fwd_sm_carbon_cond,fwd_md_tl_cond,fwd_md_cnt_cond,fwd_md_drybio_cond,fwd_md_carbon_cond,fwd_lg_tl_cond,fwd_lg_cnt_cond,fwd_lg_drybio_cond,fwd_lg_carbon_cond,pile_sample_area_cond,pile_tl_cond,pile_drybio_cond,pile_carbon_cond
62242832010538,1,33,3,13,864,2005,2005,0.5,0.499232415229,0.499232415229,0.49923241522800005,0.5,144,19.798625,2028.91825324188,1057.0664099390194,11.9038412585,37,216.08123210853321,108.04061605426661,11.9038412585,4,722.9820799465324,361.4910399732662,19.8397354308,1,1291.1033587824465,645.5516793912233,0.08308345,0,0,0
62242832010538,2,33,3,13,864,2005,2005,0.5,0.500767584772,0.500767584772,0.500767584772,0.5,144,191.02673333333334,3117.329558088946,1585.2105836603878,11.9404462825,18,112.16346830720687,56.081734153603435,11.9404462825,3,578.5653197642368,289.2826598821184,19.9007438042,1,1377.604689133066,688.802344566533,0.08308345,0,0,0
62245235010538,2,33,3,15,194,2005,2005,0.25,0.25581741289000004,0.25581741289000004,0.25581741289000004,0.25,72,0,0,0,6,0,0,0,6,0,0,0,10,0,0,0,0.041541725,0,0,0
62244300010538,2,33,3,13,386,2005,2005,0.5,0.49771674510100006,0.49771674510100006,0.49771674510200004,0.5,144,104.43230769230769,2347.374002029056,1168.7192077706504,11.8834840541,36,204.99204986563447,102.49602493281724,11.8834840541,6,1057.3967858661222,528.6983929330611,19.8058067569,2,2517.7360631890765,1258.8680315945383,0.08308345,0,0,0
62244300010538,3,33,3,13,386,2005,2005,0.25,0.251298395067,0.251298395067,0.251298395067,0.25,72,0,0,0,6,0,0,0,6,0,0,0,10,0,0,0,0.041541725,0,0,0
62245235010538,1,33,3,15,194,2005,2005,0.75,0.744182587109,0.744182587109,0.74418258711,0.75,216,187.187,1895.695765524761,953.3977876282312,17.4542282803,53,191.27461637897375,95.63730818948687,17.4542282803,21,2345.5947602159013,1172.7973801079506,29.0903804672,9,7180.747685173203,3590.3738425866013,0.12462517499999999,0,0,0
62246414010538,1,33,3,19,804,2005,2005,0.7013888888890001,0.498769213601,0.498769213601,0.49876921360200005,0.6618140000020001,202,245.74740594059406,4305.874839593907,2187.679362593918,11.9336181172,32,167.43724716403483,83.71862358201741,11.9336181172,7,1133.5804696855885,566.7902348427942,19.8893635287,4,4627.088174940489,2313.5440874702444,0.10997158075700002,0,0,0
62246414010538,2,33,3,19,804,2005,2005,0.048611111111000006,0.250771832332,0.250771832332,0.250771832332,0.088185999998,14,0,0,0,6,0,0,0,6,0,0,0,10,0,0,0,0.014653594243,0,0,0
62246414010538,3,33,3,19,804,2005,2005,0.25,0.250458954068,0.250458954068,0.25045895406700003,0.25,72,410.68532435897436,15365.053239471936,7544.241140580721,5.9925140333,5,56.26860556603378,28.13430278301689,5.9925140333,3,1044.887710303354,522.443855151677,9.9875233888,3,7463.853225380992,3731.926612690496,0.041541725,0,0,0
62231243010538,1,33,2,3,489,2005,2005,1,1.000000000001,1.000000000001,1.000000000001,1,288,26.39816666666667,220.7455297047,111.6972380305782,23.9925140333,78,249.12860306189202,124.56430153094601,23.9925140333,8,790.8082568759423,395.40412843797117,39.98752338880001,3,2118.3412941854626,1059.1706470927313,0.1661669,0,0,0
62233979010538,1,33,3,5,1132,2005,2005,1,0.999999999998,0.999999999998,1,1,288,171.42170833333333,3333.0998231626095,1728.7306161161732,23.584070279600002,55,149.40229940956317,74.70114970478159,23.584070279600002,18,1513.2800800123935,756.6400400061967,39.3067837994,2,1201.0754089939799,600.5377044969899,0.1661669,0,0,0
62237823010538,1,33,2,7,1212,2005,2005,1,0.999999999999,0.999999999999,1.000000000001,1,288,131.46287,22131.650863636914,11527.042403941721,23.9850280665,30,104.5263061103245,52.26315305516225,23.9850280665,3,323.5026339566677,161.75131697833385,39.9750467776,2,1540.565015776746,770.282507888373,0.1661669,0,0,0
62241642010538,1,33,2,9,319,2005,2005,1,1.000000000001,1.000000000001,1.000000000001,1,288,349.3455184294872,6085.142427907944,3007.7211517210203,23.9925140333,28,89.42962970247686,44.71481485123843,23.9925140333,13,1285.0468799548178,642.5234399774089,39.98752338880001,2,1412.2093555146687,706.1046777573343,0.1661669,0,0,0
62241470010538,1,33,2,9,487,2005,2005,1,0.999999999998,0.999999999998,0.999999999999,1,288,116.09643790412485,5165.549703417203,2565.6162847042297,23.9186461837,80,235.44727908338461,117.72363954169231,23.9186461837,22,2003.9117317298546,1001.9558658649273,39.8644103062,9,5855.8761887791525,2927.9380943895762,0.1661669,0,0,0
62242626010538,1,33,3,11,318,2005,2005,1,0.999999999999,0.999999999999,1.000000000001,1,288,237.5899701388889,6074.6157770710915,3136.203674852352,23.962737174500003,107,282.5379246895909,141.26896234479545,23.962737174500003,16,1307.5706804283543,653.7853402141772,39.9378952909,4,2335.0632666658803,1167.5316333329401,0.1661669,0,0,0
62244300010538,1,33,3,13,386,2005,2005,0.25,0.250984859831,0.250984859831,0.25098485983,0.25,72,0,0,0,5.9925140333,4,52.903891797428145,26.451945898714072,5.9925140333,1,409.33591217130163,204.66795608565081,9.9875233888,1,2923.9727275929404,1461.9863637964702,0.041541725,0,0,0
